No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#196,500,Metal Black Collection,10,Diamond White,2.2,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.45714286
#179,499,Metal Black Collection,10,Diamond Pink,2,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.42857143
#157,498,Metal Black Collection,10,Diamond White,2.2,Diamond White,0.6,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.4
#198,497,Metal Black Collection,10,Diamond White,2.2,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.4
#177,496,Metal Black Collection,10,Diamond Pink,2,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.37142857
#197,493,Metal Black Collection,10,Diamond White,2.2,Diamond Black,0.8,Diamond Black,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#195,494,Metal Black Collection,10,Diamond White,2.2,Diamond Blue,0.8,Diamond Blue,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#200,492,Metal Black Collection,10,Diamond White,2.2,Diamond Peach,0.8,Diamond Peach,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#201,491,Metal Black Collection,10,Diamond White,2.2,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#187,495,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.34285714
#178,488,Metal Black Collection,10,Diamond Pink,2,Diamond Blue,0.8,Diamond Blue,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#193,485,Metal Black Collection,10,Diamond White,2.2,Diamond Red,0.8,Diamond Red,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#163,490,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#181,487,Metal Black Collection,10,Diamond Pink,2,Diamond Black,0.8,Diamond Black,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#175,489,Metal Black Collection,10,Diamond Pink,2,Diamond Lemon,0.8,Diamond Lemon,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#192,486,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.31428571
#183,483,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Lavender,1,Diamond Lavender,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#176,484,Metal Black Collection,10,Diamond Pink,2,Diamond Red,0.8,Diamond Pink,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#194,481,Metal Black Collection,10,Diamond White,2.2,Diamond Yellow,0.6,Diamond Yellow,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#185,482,Metal Black Collection,10,Diamond Yellow,1.4,Diamond Leaf Green,1,Diamond Leaf Green,1,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.28571429
#182,480,Metal Black Collection,10,Diamond Pink,2,Diamond Teal,0.6,Diamond Teal,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#191,478,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Peach,0.8,Diamond Peach,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#190,479,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.25714286
#152,477,Metal Black Collection,10,Diamond Pink,2,Diamond Pink,0.4,Diamond Pink,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.22857143
#199,476,Metal Black Collection,10,Diamond White,2.2,Diamond Taupe,0.4,Diamond Taupe,0.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.22857143
#347,474,Green Machine Collection,10,Amethys White,1.8,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#349,473,Green Machine Collection,10,Amethys White,1.8,Amethys Lavender,0.8,Amethys Lavender,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#330,475,Green Machine Collection,10,Amethys Lemon,1.8,Amethys Green,0.8,Amethys Green,0.8,Green Machine,10,Green Machine,10,Space Studio,59.2,13.22857143
#188,469,Metal Black Collection,10,Diamond Aqua,1.6,Diamond Turqoise,0.6,Diamond Turqoise,0.6,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#156,472,Metal Black Collection,10,Diamond Green,0.4,Diamond Green,1,Diamond Green,1.4,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
#180,470,Metal Black Collection,10,Diamond Pink,2,Diamond White,0.6,Diamond White,0.2,Metal Black Iron,10.2,Metal Black Iron,10.2,Space Studio,59.2,13.2
